,Regressor,Param,Score,MAE
19,DecisionTreeRegressor,poisson-best-3,0.147492034624083,59.27344010677345
106,SGDRegressor,huber-l1-0.0001-10000000-optimal-0.25,0.13193275653976433,57.84160176718306
107,SGDRegressor,huber-l1-0.0001-10000000-optimal-0.75,0.12950698920488302,57.90793467449368
13,DecisionTreeRegressor,poisson-random-3,0.1085677063763747,60.53759419797156
18,DecisionTreeRegressor,poisson-best-2,0.1035688064151159,61.00123977188197
185,SGDRegressor,epsilon_insensitive-elasticnet-0.001-10000000-optimal-0.75,0.03281462575226768,61.40188983741352
184,SGDRegressor,epsilon_insensitive-elasticnet-0.001-10000000-optimal-0.25,0.03239475257433233,61.40073979052126
149,SGDRegressor,epsilon_insensitive-l2-0.001-10000000-optimal-0.75,0.03237156225520843,61.897320107203555
208,ElasticNet,2.0-1-1000,0.02980446356596611,63.81585007704523
209,ElasticNet,2.0-1-10000,0.02980446356596611,63.81585007704523
148,SGDRegressor,epsilon_insensitive-l2-0.001-10000000-optimal-0.25,0.02580447740906422,61.71845788523717
125,SGDRegressor,huber-elasticnet-0.0001-10000000-optimal-0.75,0.02541166318048582,61.766375319359476
124,SGDRegressor,huber-elasticnet-0.0001-10000000-optimal-0.25,0.023893036249904576,61.78312387572394
89,SGDRegressor,huber-l2-0.0001-10000000-optimal-0.75,0.01960458543217858,62.019575439834576
88,SGDRegressor,huber-l2-0.0001-10000000-optimal-0.25,0.01611433787019212,61.9825030501884
182,SGDRegressor,epsilon_insensitive-elasticnet-0.001-10000000-constant-0.25,0.013532496477812517,62.33827350485405
183,SGDRegressor,epsilon_insensitive-elasticnet-0.001-10000000-constant-0.75,0.01255710901958429,62.385705425393816
195,ElasticNet,0.7-0.5-10000,0.012150860135207386,64.30505548726046
194,ElasticNet,0.7-0.5-1000,0.012150860135207386,64.30505548726046
147,SGDRegressor,epsilon_insensitive-l2-0.001-10000000-constant-0.75,0.009163957424512259,62.52115937025392
146,SGDRegressor,epsilon_insensitive-l2-0.001-10000000-constant-0.25,0.008838847313718645,62.52812554493132
193,ElasticNet,0.7-0-10000,0.007949288174526337,64.45365552760919
192,ElasticNet,0.7-0-1000,0.007949288174526337,64.45365552760919
201,ElasticNet,1.0-0.5-10000,0.007511677412391227,64.47253734674574
200,ElasticNet,1.0-0.5-1000,0.007511677412391227,64.47253734674574
199,ElasticNet,1.0-0-10000,0.00558968417348793,64.53854727908791
198,ElasticNet,1.0-0-1000,0.00558968417348793,64.53854727908791
204,ElasticNet,2.0-0-1000,0.002809679706094581,64.63827079719033
205,ElasticNet,2.0-0-10000,0.002809679706094581,64.63827079719033
206,ElasticNet,2.0-0.5-1000,0.002188601402241974,64.66215107501147
207,ElasticNet,2.0-0.5-10000,0.002188601402241974,64.66215107501147
37,SGDRegressor,squared_error-l2-0.001-10000000-invscaling-0.75,-0.015747050789536754,63.24176554498836
31,SGDRegressor,squared_error-l2-0.0001-10000000-invscaling-0.75,-0.01663154238634723,63.265165900564696
43,SGDRegressor,squared_error-l2-0.01-10000000-invscaling-0.75,-0.016717984553991094,63.264744412683946
73,SGDRegressor,squared_error-elasticnet-0.001-10000000-invscaling-0.75,-0.01688438252199642,63.265276225236185
49,SGDRegressor,squared_error-l1-0.0001-10000000-invscaling-0.75,-0.016917934680967806,63.26240857847234
55,SGDRegressor,squared_error-l1-0.001-10000000-invscaling-0.75,-0.017078415449959694,63.27003723233937
79,SGDRegressor,squared_error-elasticnet-0.01-10000000-invscaling-0.75,-0.017166315171131874,63.270867628932415
61,SGDRegressor,squared_error-l1-0.01-10000000-invscaling-0.75,-0.017185523737903496,63.2724115572187
67,SGDRegressor,squared_error-elasticnet-0.0001-10000000-invscaling-0.75,-0.01726163222494903,63.27485926895892
172,SGDRegressor,epsilon_insensitive-l1-0.01-10000000-optimal-0.25,-0.020386418849824617,63.23708050209943
173,SGDRegressor,epsilon_insensitive-l1-0.01-10000000-optimal-0.75,-0.020579777165245172,63.205814592248196
191,SGDRegressor,epsilon_insensitive-elasticnet-0.01-10000000-optimal-0.75,-0.030317048638869526,63.54310675617876
155,SGDRegressor,epsilon_insensitive-l2-0.01-10000000-optimal-0.75,-0.03043362636283775,63.559573182981254
190,SGDRegressor,epsilon_insensitive-elasticnet-0.01-10000000-optimal-0.25,-0.030454439898542907,63.54343830895188
154,SGDRegressor,epsilon_insensitive-l2-0.01-10000000-optimal-0.25,-0.030931493834005286,63.56013417851774
189,SGDRegressor,epsilon_insensitive-elasticnet-0.01-10000000-constant-0.75,-0.06321566647823862,63.700744837578895
152,SGDRegressor,epsilon_insensitive-l2-0.01-10000000-constant-0.25,-0.06380286136556146,63.71284786626075
188,SGDRegressor,epsilon_insensitive-elasticnet-0.01-10000000-constant-0.25,-0.06385406558984208,63.70366004267358
153,SGDRegressor,epsilon_insensitive-l2-0.01-10000000-constant-0.75,-0.06393910235524558,63.71331850311018
113,SGDRegressor,huber-l1-0.001-10000000-optimal-0.75,-0.06590418921594643,63.665397972108444
112,SGDRegressor,huber-l1-0.001-10000000-optimal-0.25,-0.06628204211352529,63.66939945590024
130,SGDRegressor,huber-elasticnet-0.001-10000000-optimal-0.25,-0.07101991302795252,63.74948051321539
94,SGDRegressor,huber-l2-0.001-10000000-optimal-0.25,-0.07158148394948016,63.7616040064784
95,SGDRegressor,huber-l2-0.001-10000000-optimal-0.75,-0.07205009264875151,63.766344289199985
131,SGDRegressor,huber-elasticnet-0.001-10000000-optimal-0.75,-0.07326895366311592,63.768298287383594
156,SGDRegressor,epsilon_insensitive-l1-0.0001-10000000-invscaling-0.25,-0.22301644687705324,65.40165956524145
162,SGDRegressor,epsilon_insensitive-l1-0.001-10000000-invscaling-0.25,-0.22301665472437104,65.41719542889878
